,slice,Charms,Muggle Studies,Ancient Runes,Divination,Potions,Herbology,Astronomy,Flying,Transfiguration,History of Magic
Ravenclaw,-0.04333609931569313,0.07595307449650757,0.0791693049094652,0.05154133094001677,,,,,,,
Slytherin,-0.06338649395460902,-0.025748780712076536,,,-0.06937275436884426,0.040721507008769066,,,,,
Gryffindor,-0.057544050620336365,,,,,,,,0.06808706363631586,-0.07138256869395708,-0.07032431360788685
Hufflepuff,-0.03323251629848986,,,-0.05949152111392597,,,0.04729892949694886,0.05738397467805343,,,
